match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before,dc_lambda,dc_mu,dc_home_win,dc_draw,dc_away_win
18,59,1,0,0.49,294,0.76,7,2,5,0.4,91,2,6,12,True,Home,2.0,2.57,0.37,17.0,8.0,0.61,3.0,5,-1.0,1.0,3,59,66,1,0,2020-2021,Werder Bremen,0.18,0.0,1.0,,,0.1176470588235294,66,0,1500.0,1518.8499774443092,1.43943710230913,0.7405980961664844,0.5207025221680163,0.30375358330606655,0.17554102235718616
20,62,1,2,1.23,464,0.79,12,4,8,0.5,108,7,1,8,False,Away,3.0,2.9,0.52,13.0,7.0,0.81,3.0,5,1.0,1.0,3,65,62,2,1,2020-2021,Hoffenheim,0.1,,,1.0,3.0,0.2307692307692307,65,0,1520.0,1521.1500225556908,2.2082115517785343,1.344940433450755,0.558237779611403,0.22603488839602703,0.2156217964409081
23,64,0,0,0.84,334,0.72,9,1,8,0.39,119,2,0,13,False,Away,2.5,0.92,0.29,6.0,4.0,0.69,6.0,1,4.0,1.0,3,71,64,0,0,2020-2021,Augsburg,1.49,,,1.0,3.0,0.3333333333333333,71,0,1540.0,1501.1500225556908,1.7514277310049933,0.9731849293050057,0.5409165980436048,0.26657065284671555,0.1924972585842023
20,65,2,1,3.15,472,0.8,16,8,8,0.5,121,5,9,12,True,Home,2.0,1.94,0.43,11.0,3.0,0.83,4.0,2,2.0,1.0,3,65,62,2,1,2020-2021,Eintracht Frankfurt,-0.0949999999999999,0.0,1.0,,,0.1641414141414141,62,0,1521.1500225556908,1520.0,2.2082115517785343,1.344940433450755,0.558237779611403,0.22603488839602703,0.2156217964409081
18,66,0,1,1.0,542,0.85,10,5,5,0.6,99,1,2,16,False,Away,1.0,0.29,0.5,7.0,3.0,0.85,4.0,2,1.0,1.0,3,59,66,1,0,2020-2021,Arminia Bielefeld,0.29,,,0.0,1.0,0.1071428571428571,59,0,1518.8499774443092,1500.0,1.43943710230913,0.7405980961664844,0.5207025221680163,0.30375358330606655,0.17554102235718616
21,67,4,0,2.24,763,0.9,16,7,9,0.63,109,3,1,8,True,Home,1.5,1.57,0.71,16.0,7.0,0.9,3.0,5,1.0,0.0,3,67,58,4,0,2020-2021,Borussia Dortmund,-0.165,1.0,3.0,,,0.1666666666666666,58,0,1500.0,1518.8499774443092,2.3525882121671624,1.2368021960422673,0.6106597453847693,0.2118738314400083,0.1772934683911357
22,69,4,0,3.42,606,0.91,21,7,14,0.62,87,8,4,13,True,Home,3.0,3.36,0.68,23.0,10.0,0.9,3.0,5,2.0,1.0,3,69,56,4,0,2020-2021,RB Leipzig,-0.3599999999999999,1.0,3.0,,,0.1304347826086956,56,0,1520.0,1460.0,3.1064211057567257,0.6204693867535468,0.8488520382013888,0.11131964756534116,0.038406183957802806
23,71,0,0,1.44,608,0.85,17,6,11,0.61,125,12,3,7,False,Home,0.5,0.65,0.48,8.0,2.0,0.81,2.0,9,0.0,0.0,3,71,64,0,0,2020-2021,Wolfsburg,-0.195,0.0,0.0,,,0.0625,64,0,1501.1500225556908,1540.0,1.7514277310049933,0.9731849293050057,0.5409165980436048,0.26657065284671555,0.1924972585842023
19,72,1,1,1.37,467,0.8,15,7,8,0.5,106,12,1,17,False,Away,0.0,0.79,0.58,6.0,2.0,0.84,1.0,10,0.0,0.0,3,57,72,1,1,2020-2021,Bayer Leverkusen,-0.79,,,0.0,0.0,0.0,57,0,1500.0,1480.0,1.449615077804979,1.8089952341052222,0.2959276483653614,0.2565735805999057,0.4474755090524919
29,56,1,1,0.35,448,0.85,8,4,4,0.54,94,5,2,7,False,Home,0.3333333333333333,0.36,0.38,4.0,1.0,0.78,0.0,10,-14.0,0.0,4,56,63,1,1,2020-2021,Schalke,-0.29,0.0,1.0,,,0.0196078431372549,63,0,1443.4199471468723,1480.0,0.8962376778964813,1.6253749186190847,0.19052667360124614,0.28057301326211415,0.528892100928954
26,57,2,0,1.3,286,0.72,7,2,5,0.38,111,4,1,10,True,Away,1.5,0.73,0.5,11.0,2.0,0.8,1.0,7,-1.0,0.0,4,60,57,0,2,2020-2021,VfB Stuttgart,0.1200000000000001,,,,,0.0889328063241106,60,0,1481.1500225556908,1498.8499774443092,1.2770007091542552,1.774846036256995,0.2608662850105,0.2630375328471459,0.47607795436422556
26,60,0,2,1.1,546,0.85,16,4,12,0.62,128,6,1,14,False,Home,2.5,1.26,0.57,12.0,6.0,0.85,3.0,4,1.0,0.0,4,60,57,0,2,2020-2021,Hertha Berlin,0.95,0.0,1.0,,,0.1955128205128205,57,0,1498.8499774443092,1481.1500225556908,1.2770007091542552,1.774846036256995,0.2608662850105,0.2630375328471459,0.47607795436422556
28,61,1,1,1.08,322,0.74,9,5,4,0.44,128,2,4,19,False,Home,1.0,1.57,0.5,12.0,2.0,0.8,0.0,10,-2.0,0.0,4,61,65,1,1,2020-2021,Cologne,-0.91,0.0,2.0,,,0.0769230769230769,65,0,1461.1500225556908,1541.0838221776276,1.2631875019651764,1.5590479787438047,0.29255881380227083,0.281637410796953,0.4257971488549186
29,63,1,1,1.24,386,0.77,13,7,6,0.46,89,7,2,13,False,Away,1.0,1.02,0.4,15.0,2.0,0.75,1.0,7,-2.0,0.0,4,56,63,1,1,2020-2021,Union Berlin,-0.2249999999999999,,,0.0,1.0,0.069047619047619,56,0,1480.0,1443.4199471468723,0.8962376778964813,1.6253749186190847,0.19052667360124614,0.28057301326211415,0.528892100928954
24,64,0,2,0.57,283,0.72,6,2,4,0.37,117,5,5,9,False,Home,1.6666666666666667,0.84,0.39,9.0,1.0,0.72,7.0,1,4.0,0.0,4,64,69,0,2,2020-2021,Augsburg,0.7133333333333334,1.0,2.0,,,0.2222222222222222,69,0,1537.7728900505151,1536.5800528531277,0.9991185927029731,1.7585822001368667,0.19764839421581185,0.2660207633058752,0.5363147899546586
28,65,1,1,1.82,500,0.79,16,4,12,0.56,136,8,0,18,False,Away,2.0,3.15,0.5,16.0,8.0,0.8,7.0,1,3.0,2.0,4,61,65,1,1,2020-2021,Eintracht Frankfurt,-0.4466666666666666,,,1.0,3.0,0.1510942760942761,61,0,1541.0838221776276,1461.1500225556908,1.2631875019651764,1.5590479787438047,0.29255881380227083,0.281637410796953,0.4257971488549186
27,68,1,1,1.55,400,0.79,13,2,11,0.48,109,5,2,14,False,Home,0.5,1.84,0.6,14.0,5.0,0.85,1.0,7,-3.0,0.0,4,68,71,1,1,2020-2021,Borussia Mönchengladbach,-0.7150000000000001,0.0,1.0,,,0.0357142857142857,71,0,1480.0,1503.3771325051755,1.7034119882363206,1.5228300788997222,0.40772197487468426,0.2613074888579376,0.33095368937890957
24,69,2,0,1.76,623,0.85,15,6,9,0.63,122,8,1,13,True,Away,3.5,3.42,0.62,21.0,7.0,0.91,6.0,3,6.0,1.0,4,64,69,0,2,2020-2021,RB Leipzig,0.1100000000000001,,,,,0.160455486542443,64,0,1536.5800528531277,1537.7728900505151,0.9991185927029731,1.7585822001368667,0.19764839421581185,0.2660207633058752,0.5363147899546586
25,70,0,1,0.39,364,0.79,5,0,5,0.41,97,6,5,12,False,Home,1.0,1.04,0.32,8.0,1.0,0.77,0.0,10,-2.0,0.0,4,70,72,0,1,2020-2021,Mainz,-0.04,,,,,0.125,72,0,1480.0,1498.8499774443092,1.2004839723756962,1.6587297119776971,0.2605300464625094,0.27475197688300185,0.4647076815912364
27,71,1,1,1.45,435,0.77,14,5,9,0.52,117,4,4,13,False,Away,0.3333333333333333,1.44,0.61,17.0,6.0,0.85,3.0,4,0.0,0.0,4,68,71,1,1,2020-2021,Wolfsburg,-0.61,,,0.0,1.0,0.0416666666666666,68,0,1503.3771325051755,1480.0,1.7034119882363206,1.5228300788997222,0.40772197487468426,0.2613074888579376,0.33095368937890957
25,72,1,0,0.52,581,0.87,9,4,5,0.59,93,2,4,6,True,Away,0.5,1.37,0.5,15.0,7.0,0.8,2.0,6,0.0,0.0,4,70,72,0,1,2020-2021,Bayer Leverkusen,-0.5800000000000001,,,0.0,0.5,0.0333333333333333,70,0,1498.8499774443092,1480.0,1.2004839723756962,1.6587297119776971,0.2605300464625094,0.27475197688300185,0.4647076815912364
32,55,5,0,2.6,576,0.88,20,10,10,0.63,102,10,3,11,True,Home,8.0,4.35,0.61,22.0,12.0,0.9,3.0,9,8.0,1.0,5,55,65,5,0,2020-2021,Bayern Munich,3.65,1.0,8.0,,,0.3636363636363636,65,0,1520.0,1536.561965215393,2.8915795112200806,1.1295940737041954,0.7257183644226851,0.16228030735848098,0.11116122987869075
30,57,1,1,0.85,546,0.85,9,4,5,0.57,123,3,1,11,False,Home,1.6666666666666667,1.3,0.38,7.0,2.0,0.72,4.0,6,1.0,1.0,5,57,61,1,1,2020-2021,VfB Stuttgart,0.3133333333333334,0.0,1.5,,,0.1545266327875023,61,0,1502.168033317216,1465.6718795179254,1.9083764017669078,1.0660745017179567,0.5554457873842491,0.2507792258136437,0.19374321290311658
34,59,1,1,0.23,420,0.85,5,2,3,0.51,93,1,3,10,False,Home,1.6666666666666667,0.49,0.4,7.0,2.0,0.76,6.0,4,0.0,2.0,5,59,62,1,1,2020-2021,Werder Bremen,0.29,1.0,1.0,,,0.1260504201680672,62,0,1521.0840285005768,1500.0662003780633,1.823345861780448,1.5276529817667357,0.4349561546307286,0.253375537208784,0.3116419114612443
31,60,1,2,1.0,241,0.71,11,3,8,0.6,99,3,0,20,False,Away,1.6666666666666667,1.1,0.62,16.0,4.0,0.85,3.0,9,-1.0,0.0,5,69,60,2,1,2020-2021,Hertha Berlin,0.2666666666666666,,,1.0,4.0,0.1303418803418803,69,0,1477.831966682784,1556.6487178120635,2.531599380911839,0.7819610280464243,0.7427971688495911,0.17329899774933624,0.0835980580625266
30,61,1,1,1.92,363,0.82,14,4,10,0.43,93,5,1,13,False,Away,1.0,1.08,0.44,9.0,5.0,0.74,1.0,12,-2.0,0.0,5,57,61,1,1,2020-2021,Cologne,-0.6333333333333334,,,0.0,0.0,0.0883190883190883,57,0,1465.6718795179254,1502.168033317216,1.9083764017669078,1.0660745017179567,0.5554457873842491,0.2507792258136437,0.19374321290311658
34,62,1,1,1.23,414,0.86,15,5,10,0.49,87,4,4,20,False,Away,2.0,1.23,0.5,12.0,4.0,0.79,3.0,9,0.0,0.0,5,59,62,1,1,2020-2021,Hoffenheim,-0.0649999999999999,,,1.0,2.0,0.157051282051282,59,0,1500.0662003780633,1521.0840285005768,1.823345861780448,1.5276529817667357,0.4349561546307286,0.253375537208784,0.3116419114612443
35,64,1,3,0.38,361,0.75,7,3,4,0.37,106,3,3,8,False,Away,1.25,0.57,0.37,6.0,2.0,0.72,7.0,3,2.0,0.0,5,72,64,3,1,2020-2021,Augsburg,0.3925,,,1.0,1.5,0.1666666666666666,72,0,1517.7042250915792,1517.7659489437324,2.368621246517404,0.8169674243994698,0.7076853266550679,0.19210078218173945,0.10003218219596509
32,65,0,5,0.4,377,0.78,9,3,6,0.37,86,3,7,12,False,Away,1.75,1.82,0.56,16.0,4.0,0.79,8.0,2,3.0,0.0,5,55,65,5,0,2020-2021,Eintracht Frankfurt,-0.54,,,1.0,2.0,0.128945707070707,55,0,1536.561965215393,1520.0,2.8915795112200806,1.1295940737041954,0.7257183644226851,0.16228030735848098,0.11116122987869075
33,66,1,2,0.31,507,0.8,8,1,7,0.51,113,3,1,10,False,Away,0.6666666666666666,1.0,0.6,10.0,5.0,0.85,4.0,6,0.0,0.0,5,71,66,2,1,2020-2021,Arminia Bielefeld,-0.1399999999999999,,,0.0,0.5,0.0714285714285714,71,0,1497.7659489437324,1502.0334636783057,1.5450843968725545,0.6439223198014522,0.5758741982190863,0.2859468383913421,0.13817367029333505
31,69,2,1,3.3,521,0.86,29,7,22,0.22,145,7,2,10,True,Home,3.0,1.76,0.63,15.0,6.0,0.85,9.0,1,8.0,2.0,5,69,60,2,1,2020-2021,RB Leipzig,0.1533333333333334,2.0,3.5,,,0.1514147688060731,60,0,1556.6487178120635,1477.831966682784,2.531599380911839,0.7819610280464243,0.7427971688495911,0.17329899774933624,0.0835980580625266
33,71,2,1,1.56,471,0.82,14,4,10,0.49,119,4,2,12,True,Home,0.5,1.45,0.52,14.0,5.0,0.77,4.0,6,0.0,0.0,5,71,66,2,1,2020-2021,Wolfsburg,-0.5700000000000001,0.0,0.0,,,0.0491071428571428,66,0,1502.0334636783057,1497.7659489437324,1.5450843968725545,0.6439223198014522,0.5758741982190863,0.2859468383913421,0.13817367029333505
35,72,3,1,3.13,710,0.87,15,7,8,0.63,80,3,2,14,True,Home,0.6666666666666666,0.52,0.59,9.0,4.0,0.87,5.0,5,1.0,1.0,5,72,64,3,1,2020-2021,Bayer Leverkusen,-0.2266666666666667,,,,,0.0592592592592592,64,0,1517.7659489437324,1517.7042250915792,2.368621246517404,0.8169674243994698,0.7076853266550679,0.19210078218173945,0.10003218219596509
38,55,2,1,1.22,633,0.88,7,5,2,0.63,108,1,1,13,True,Away,6.5,2.6,0.63,20.0,10.0,0.88,6.0,6,13.0,1.0,6,61,55,1,2,2020-2021,Bayern Munich,3.0250000000000004,,,,,0.3068181818181818,61,0,1540.9526618710886,1467.7650736759376,0.9989045688124781,2.52097317104418,0.11877273176940396,0.18755388518261265,0.6933773223528752
40,58,2,4,1.21,365,0.79,8,5,3,0.41,94,4,3,10,False,Home,1.3333333333333333,0.37,0.37,6.0,2.0,0.81,4.0,8,-3.0,0.0,6,58,72,2,4,2020-2021,Freiburg,0.0133333333333333,0.0,1.0,,,0.1587301587301587,72,0,1497.7659489437324,1537.7623958332235,1.3258897753120895,1.715299701355082,0.2819037012572809,0.2669534496031946,0.45112853729201163
39,59,1,1,0.61,250,0.72,9,4,5,0.34,98,3,4,14,False,Away,1.5,0.23,0.51,5.0,2.0,0.85,7.0,3,0.0,0.0,6,65,59,1,1,2020-2021,Werder Bremen,0.41,,,1.0,3.0,0.1445378151260504,65,0,1519.8756187745576,1515.6093033443044,2.031178343798593,1.1794909257696242,0.5567623864011378,0.24005123837158665,0.20313309509283484
41,60,1,1,1.51,383,0.79,18,5,13,0.5,109,8,3,8,False,Home,1.5,1.0,0.6,11.0,3.0,0.71,3.0,11,-2.0,0.0,6,60,71,1,1,2020-2021,Hertha Berlin,0.2,0.0,0.5,,,0.1204836829836829,71,0,1462.292764002599,1521.787818136356,1.1936686348100791,1.608807899475583,0.26682479568626366,0.2794530900083698,0.45371407872896985
38,61,1,2,0.59,358,0.75,9,2,7,0.37,109,5,1,12,False,Home,1.0,1.92,0.43,14.0,4.0,0.82,2.0,12,-2.0,0.0,6,61,55,1,2,2020-2021,Cologne,-0.7050000000000001,0.0,1.5,,,0.0840964590964591,55,0,1467.7650736759376,1540.9526618710886,0.9989045688124781,2.52097317104418,0.11877273176940396,0.18755388518261265,0.6933773223528752
42,62,1,3,1.33,529,0.85,10,5,5,0.59,76,3,2,19,False,Home,1.6666666666666667,1.23,0.49,15.0,5.0,0.86,4.0,8,0.0,0.0,6,62,63,1,3,2020-2021,Hoffenheim,-0.1199999999999999,,,,,0.1269230769230769,63,0,1501.2746101040825,1477.9020292469982,1.5734028591371296,1.287218925512752,0.4242699180004712,0.2795955471927277,0.2961272745748451
42,63,3,1,3.35,347,0.8,9,6,3,0.41,83,6,3,13,True,Away,1.0,1.24,0.46,13.0,7.0,0.77,2.0,12,-2.0,0.0,6,62,63,1,3,2020-2021,Union Berlin,-0.2299999999999999,,,0.0,1.0,0.0716727716727716,62,0,1477.9020292469982,1501.2746101040825,1.5734028591371296,1.287218925512752,0.4242699180004712,0.2795955471927277,0.2961272745748451
