Season,MatchDay,Team,HomeAway,Opponent,Scored,Conceded,XGoals,Passes,Accuracy,Shots,OnTarget,OffTarget,Possession,TacklesWon,Corners,Offsides,Fouls,Win
2020-2021,5,Union Berlin,Home,Freiburg,1,1,,402,0.83,21,7,14,0.53,89,4,2,9,0
2020-2021,5,Freiburg,Away,Union Berlin,1,1,,396,0.8,8,4,4,0.47,89,2,0,14,0
2020-2021,5,Mainz,Home,Borussia Mönchengladbach,2,3,,381,0.74,15,7,8,0.42,106,3,1,18,0
2020-2021,5,Borussia Mönchengladbach,Away,Mainz,3,2,,588,0.84,21,12,9,0.58,114,7,2,11,1
2020-2021,5,RB Leipzig,Home,Hertha Berlin,2,1,3.3,521,0.86,29,7,22,0.22,145,7,2,10,1
2020-2021,5,Hertha Berlin,Away,RB Leipzig,1,2,1.0,241,0.71,11,3,8,0.6,99,3,0,20,0
2020-2021,5,Bayern Munich,Home,Eintracht Frankfurt,5,0,2.6,576,0.88,20,10,10,0.63,102,10,3,11,1
2020-2021,5,Eintracht Frankfurt,Away,Bayern Munich,0,5,0.4,377,0.78,9,3,6,0.37,86,3,7,12,0
2020-2021,5,Borussia Dortmund,Home,Schalke,3,0,,816,0.89,17,7,10,0.7,125,7,0,5,1
2020-2021,5,Schalke,Away,Borussia Dortmund,0,3,,267,0.71,3,0,3,0.3,95,2,3,14,0
2020-2021,5,Wolfsburg,Home,Arminia Bielefeld,2,1,1.56,471,0.82,14,4,10,0.49,119,4,2,12,1
2020-2021,5,Arminia Bielefeld,Away,Wolfsburg,1,2,0.31,507,0.8,8,1,7,0.51,113,3,1,10,0
2020-2021,5,Werder Bremen,Home,Hoffenheim,1,1,0.23,420,0.85,5,2,3,0.51,93,1,3,10,0
2020-2021,5,Hoffenheim,Away,Werder Bremen,1,1,1.23,414,0.86,15,5,10,0.49,87,4,4,20,0
2020-2021,5,Bayer Leverkusen,Home,Augsburg,3,1,3.13,710,0.87,15,7,8,0.63,80,3,2,14,1
2020-2021,5,Augsburg,Away,Bayer Leverkusen,1,3,0.38,361,0.75,7,3,4,0.37,106,3,3,8,0
2020-2021,6,Schalke,Home,VfB Stuttgart,1,1,,401,0.83,9,2,7,0.5,102,3,4,11,0
2020-2021,6,VfB Stuttgart,Away,Schalke,1,1,,422,0.86,19,7,12,0.5,103,4,0,14,0
2020-2021,6,Arminia Bielefeld,Home,Borussia Dortmund,0,2,0.42,267,0.71,5,2,3,0.32,101,0,2,12,0
2020-2021,6,Borussia Dortmund,Away,Arminia Bielefeld,2,0,2.93,796,0.87,21,10,11,0.68,90,12,4,13,1
2020-2021,6,Augsburg,Home,Mainz,3,1,2.21,486,0.83,14,7,7,0.5,86,4,2,12,1
2020-2021,6,Mainz,Away,Augsburg,1,3,0.9,496,0.82,8,4,4,0.5,92,1,3,10,0
2020-2021,6,Cologne,Home,Bayern Munich,1,2,0.59,358,0.75,9,2,7,0.37,109,5,1,12,0
2020-2021,6,Bayern Munich,Away,Cologne,2,1,1.22,633,0.88,7,5,2,0.63,108,1,1,13,1
2020-2021,6,Eintracht Frankfurt,Home,Werder Bremen,1,1,2.01,669,0.88,14,5,9,0.66,120,5,4,12,0
2020-2021,6,Werder Bremen,Away,Eintracht Frankfurt,1,1,0.61,250,0.72,9,4,5,0.34,98,3,4,14,0
2020-2021,6,Borussia Mönchengladbach,Home,RB Leipzig,1,0,,493,0.8,5,4,1,0.52,137,2,5,13,1
2020-2021,6,RB Leipzig,Away,Borussia Mönchengladbach,0,1,,516,0.81,15,3,12,0.48,135,4,2,17,0
2020-2021,6,Freiburg,Home,Bayer Leverkusen,2,4,1.21,365,0.79,8,5,3,0.41,94,4,3,10,0
