match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,xg_performance,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,shot_conversion,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before
19,57,1,1,0.73,438,0.8,11,2,9,0.5,122,7,2,8,False,Home,1.5,2.03,0.59,23.0,7.0,0.84,1,11,-1,0,3,57,72,1,1,2020-2021,VfB Stuttgart,0.27,-0.029999999999999805,0.0,2.0,,,0.09090909090909091,0.08695652173913043,72,0,1480.0,1500.0
20,62,1,2,1.23,464,0.79,12,4,8,0.5,108,7,1,8,False,Away,2.0,2.9,0.52,13.0,7.0,0.81,3,8,0,0,3,65,62,2,1,2020-2021,Hoffenheim,-0.22999999999999998,0.10000000000000009,,,1.0,3.0,0.08333333333333333,0.23076923076923078,65,0,1520.0,1521.1500225556908
20,65,2,1,3.15,472,0.8,16,8,8,0.5,121,5,9,12,True,Home,2.0,1.94,0.43,11.0,3.0,0.83,7,1,3,3,3,65,62,2,1,2020-2021,Eintracht Frankfurt,-1.15,-0.09499999999999997,0.0,1.0,,,0.125,0.16414141414141414,62,0,1521.1500225556908,1520.0
21,58,0,4,0.37,387,0.81,6,2,4,0.37,78,2,0,12,False,Away,1.3333333333333333,1.86,0.52,21.0,7.0,0.82,4,6,-3,0,3,67,58,4,0,2020-2021,Freiburg,-0.37,0.20499999999999996,,,1.0,3.0,0.0,0.23809523809523808,67,0,1518.8499774443092,1500.0
21,67,4,0,2.24,763,0.9,16,7,9,0.63,109,3,1,8,True,Home,2.3333333333333335,1.57,0.71,16.0,7.0,0.9,6,3,5,2,3,67,58,4,0,2020-2021,Borussia Dortmund,1.7599999999999998,-0.16500000000000004,1.0,3.0,,,0.25,0.16666666666666666,58,0,1500.0,1518.8499774443092
22,56,0,4,0.36,287,0.78,4,1,3,0.38,98,1,1,10,False,Away,0.3333333333333333,1.33,0.63,17.0,4.0,0.79,0,12,-14,0,3,69,56,4,0,2020-2021,Schalke,-0.36,-0.255,,,0.0,0.0,0.0,0.029411764705882353,69,0,1460.0,1520.0
22,69,4,0,3.42,606,0.91,21,7,14,0.62,87,8,4,13,True,Home,3.5,3.36,0.68,23.0,10.0,0.9,6,3,6,2,3,69,56,4,0,2020-2021,RB Leipzig,0.5800000000000001,-0.3599999999999999,1.0,3.0,,,0.19047619047619047,0.13043478260869565,56,0,1520.0,1460.0
23,64,0,0,0.84,334,0.72,9,1,8,0.39,119,2,0,13,False,Away,1.6666666666666667,0.92,0.29,6.0,4.0,0.69,7,1,4,0,3,71,64,0,0,2020-2021,Augsburg,-0.84,1.49,,,1.0,3.0,0.0,0.3333333333333333,71,0,1540.0,1501.1500225556908
23,71,0,0,1.44,608,0.85,17,6,11,0.61,125,12,3,7,False,Home,0.3333333333333333,0.65,0.48,8.0,2.0,0.81,3,8,0,0,3,71,64,0,0,2020-2021,Wolfsburg,-1.44,-0.195,0.0,0.0,,,0.0,0.0625,64,0,1501.1500225556908,1540.0
24,69,2,0,1.76,623,0.85,15,6,9,0.63,122,8,1,13,True,Away,3.0,3.42,0.62,21.0,7.0,0.91,9,1,8,3,4,64,69,0,2,2020-2021,RB Leipzig,0.24,0.1100000000000001,,,,,0.13333333333333333,0.16045548654244307,64,0,1536.5800528531277,1537.7728900505151
